record_type,employee_id,date_id,year,quarter,month,region_id,region_name,region_type,labor_market_code,department_id,department_name,role_id,job_role,job_level,role_family,occupation_group,role_criticality,age_band,gender,education_level,marital_status,distance_from_home_band,monthly_income,annualized_income,salary_band,years_at_company,years_in_current_role,years_since_last_promotion,overtime_flag,training_times_last_year,job_satisfaction,environment_satisfaction,work_life_balance,performance_rating,attrition_flag,estimated_replacement_cost,attrition_probability,risk_band,main_risk_driver,recommended_action,model_version,attrition_risk_rate_flag,unemployment_rate,wage_index,labor_demand_index,external_pressure_score,role_criticality_score,retention_priority_index
employee_month,49,202401,2024,1,1,us_national,United States,country,US,3,Sales,9,Sales Representative,1,,,,30-39,Female,3,Married,0-5,2014,24168,Low,2,2,2,0,3,4,4,3,3,0,19334.4,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.408
employee_month,51,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Female,4,Married,0-5,3419,41028,Low,1,1,0,1,3,1,2,4,3,0,49233.6,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.557
employee_month,52,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,30-39,Female,3,Married,0-5,5376,64512,Mid,5,3,1,0,3,1,3,3,3,0,77414.4,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.461
employee_month,53,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Male,2,Divorced,0-5,1951,23412,Low,1,0,0,0,3,4,3,3,3,0,18729.6,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.416
employee_month,54,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,18-29,Female,4,Divorced,0-5,2341,28092,Low,1,0,0,0,6,1,4,3,3,0,22473.6,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.416
employee_month,55,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,18-29,Male,3,Single,11+,2293,27516,Low,1,0,0,0,2,3,1,2,3,1,22012.8,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.516
employee_month,56,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,18-29,Male,3,Single,6-10,8726,104712,High,9,8,1,0,0,3,4,3,3,0,125654.4,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.461
employee_month,57,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Female,2,Single,0-5,4011,48132,Low,12,8,3,0,2,4,3,3,4,0,38505.6,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.491
employee_month,58,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,6,Research Director,1,,,,40-49,Female,3,Married,11+,19545,234540,High,22,15,15,0,0,3,2,3,3,1,187632.0,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.433
employee_month,60,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,30-39,Male,4,Single,11+,4568,54816,Mid,9,5,8,0,2,3,2,3,4,0,65779.2,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.586
employee_month,61,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Male,2,Married,11+,3022,36264,Low,1,0,0,0,1,2,2,3,4,0,43516.8,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.457
employee_month,62,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,40-49,Male,4,Single,0-5,5772,69264,Mid,9,6,0,1,4,4,1,3,4,0,83116.8,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.561
employee_month,63,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Male,1,Married,6-10,2269,27228,Low,1,0,0,0,2,4,4,3,3,0,21782.4,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.416
employee_month,64,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,40-49,Male,2,Single,0-5,5381,64572,Mid,1,0,0,1,2,3,1,3,3,1,51657.6,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.466
employee_month,65,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,18-29,Male,4,Single,0-5,3441,41292,Low,2,2,2,1,3,3,3,2,3,1,33033.6,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.616
employee_month,68,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,40-49,Female,5,Divorced,0-5,5454,65448,Mid,4,3,1,1,2,1,2,2,4,0,78537.6,0.55,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.661
employee_month,70,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,1,Healthcare Representative,1,,,,30-39,Male,2,Married,11+,9884,118608,High,4,0,2,1,3,1,3,3,3,0,94886.4,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.458
employee_month,72,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,18-29,Female,3,Married,11+,4157,49884,Low,2,2,0,1,2,4,3,2,3,0,59860.8,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.711
employee_month,73,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,6,Research Director,1,,,,30-39,Female,2,Single,0-5,13458,161496,High,15,14,8,1,1,4,1,3,3,0,129196.8,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.533
employee_month,74,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,30-39,Male,5,Married,11+,9069,108828,High,9,8,1,0,3,1,2,2,4,0,130593.6,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.561
employee_month,75,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Female,4,Married,11+,4014,48168,Low,2,2,2,1,3,1,3,3,3,0,38534.4,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.516
employee_month,76,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Male,4,Divorced,6-10,5915,70980,Mid,7,7,1,0,3,4,4,2,4,0,56784.0,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.466
employee_month,77,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,5,Manufacturing Director,1,,,,30-39,Male,4,Divorced,0-5,5993,71916,Mid,7,5,0,0,2,3,1,4,3,0,57532.8,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.358
employee_month,78,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,5,Manufacturing Director,1,,,,30-39,Male,3,Married,0-5,6162,73944,Mid,9,8,7,1,3,4,1,3,4,0,59155.2,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.533
employee_month,79,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,3,Laboratory Technician,1,Healthcare,Healthcare Practitioners,medium,30-39,Female,5,Single,11+,2406,28872,Low,10,3,9,0,2,4,4,3,3,0,23097.6,0.4,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.1,1.06,1.05,0.57,0.6,0.491
employee_month,80,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,6,Research Director,1,,,,50+,Female,2,Divorced,6-10,18740,224880,High,27,3,13,1,2,3,2,2,3,0,179904.0,0.7,High Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1,1,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.633
employee_month,81,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,50+,Female,3,Single,11+,7637,91644,High,21,16,7,0,3,1,1,2,3,0,109972.8,0.5,Medium Risk,Career progression,Prioritize career progression review,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.636
employee_month,83,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,1,Healthcare Representative,1,,,,30-39,Female,3,Divorced,6-10,10096,121152,High,17,14,12,0,2,3,3,3,3,0,96921.6,0.3,Low Risk,Career progression,Prioritize career progression review,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.433
employee_month,84,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,4,Manager,1,,,,50+,Female,3,Divorced,6-10,14756,177072,High,5,0,0,1,2,3,4,3,3,0,141657.6,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.458
employee_month,85,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,5,Manufacturing Director,1,,,,30-39,Male,3,Single,11+,6499,77988,Mid,6,5,0,0,3,2,2,3,3,0,62390.4,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,3.3333333333333335,1.0633333333333335,1.0466666666666666,0.5433333333333333,0.6,0.358
employee_month,86,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,40-49,Male,3,Divorced,6-10,9724,116688,High,1,0,0,0,2,1,2,3,3,0,140025.6,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.407
employee_month,88,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Male,3,Married,0-5,2194,26328,Low,3,2,1,0,2,1,2,2,3,0,31593.6,0.45,Medium Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.557
employee_month,90,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Male,3,Married,6-10,3388,40656,Low,1,0,0,1,0,3,4,2,3,1,48787.2,0.65,Medium Risk,Overtime and work-life balance,Review workload and manager allocation,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.657
employee_month,91,202401,2024,1,1,us_national,United States,country,US,3,Sales,8,Sales Executive,1,Sales,Sales Occupations,high,50+,Female,1,Single,0-5,5473,65676,Mid,4,3,1,0,2,3,1,2,3,0,78811.2,0.35,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,4.2,1.03,1.01,0.62,1.0,0.561
employee_month,94,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,18-29,Male,3,Married,0-5,2703,32436,Low,5,4,0,0,3,2,3,3,4,0,38923.2,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.457
employee_month,95,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Male,4,Single,0-5,2501,30012,Low,1,1,1,0,4,2,3,3,3,0,36014.4,0.25,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.457
employee_month,96,202401,2024,1,1,us_national,United States,country,US,2,Research & Development,7,Research Scientist,1,Technology,Computer and Mathematical,high,30-39,Male,3,Married,0-5,6220,74640,Mid,10,4,0,0,3,2,2,3,3,0,89568.0,0.15,Low Risk,Mixed workforce factors,Monitor and discuss retention plan,baseline_v1,0,2.7,1.1,1.08,0.44,1.0,0.407
